Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8784,Métropolitain Nord / Provencher,2019-10-29,01:45:00,1,45,3,7,0,0,6,4,0,0,0,1,83,1,0,0,0,0,460,105
8785,Métropolitain Nord / Provencher,2019-10-30,01:45:00,1,45,1,7,0,0,10,3,0,0,0,2,75,1,0,0,0,0,460,99
8786,Métropolitain Nord / Provencher,2019-10-31,01:45:00,1,45,3,11,0,0,14,0,0,0,0,6,11,3,0,0,0,0,460,48
8705,Pie-IX / Rouen,2019-11-05,01:45:00,1,45,0,8,2,1,8,1,1,0,0,2,0,0,0,0,0,0,139_439,23
8713,Pie-IX / Rouen,2019-11-07,01:45:00,1,45,0,14,2,1,14,0,0,0,0,0,1,2,0,0,0,0,139_439,34
8709,Pie-IX / Rouen,2019-11-06,02:00:00,2,0,0,9,2,0,9,0,0,0,0,0,0,1,0,0,0,0,139_439,21
8784,Métropolitain Nord / Provencher,2019-10-29,02:00:00,2,0,2,10,0,0,2,2,0,0,0,2,66,0,0,0,0,0,460,84
8785,Métropolitain Nord / Provencher,2019-10-30,02:00:00,2,0,1,3,0,0,9,1,0,0,0,6,90,1,0,0,0,0,460,111
8786,Métropolitain Nord / Provencher,2019-10-31,02:00:00,2,0,5,9,0,0,3,1,0,0,0,0,10,1,0,0,0,0,460,29
8709,Pie-IX / Rouen,2019-11-06,02:15:00,2,15,1,3,0,1,10,0,1,2,1,0,0,0,0,0,0,0,139_439,19
8705,Pie-IX / Rouen,2019-11-05,02:00:00,2,0,0,5,1,0,5,2,0,0,0,0,1,3,0,0,0,0,139_439,17
8713,Pie-IX / Rouen,2019-11-07,02:00:00,2,0,0,6,0,1,10,0,0,1,1,0,0,0,0,0,0,0,139_439,19
8705,Pie-IX / Rouen,2019-11-05,02:15:00,2,15,0,8,0,0,4,0,1,4,0,2,0,0,0,0,0,0,139_439,19
8713,Pie-IX / Rouen,2019-11-07,02:15:00,2,15,1,5,0,1,10,0,0,1,0,2,2,0,0,0,0,0,139_439,22
8784,Métropolitain Nord / Provencher,2019-10-29,02:15:00,2,15,1,6,0,0,6,1,0,0,0,5,59,0,0,0,0,0,460,78
8785,Métropolitain Nord / Provencher,2019-10-30,02:15:00,2,15,1,2,0,0,4,0,0,0,0,4,78,2,0,0,0,0,460,91
8786,Métropolitain Nord / Provencher,2019-10-31,02:15:00,2,15,2,3,0,0,3,0,0,0,0,0,5,1,0,0,0,0,460,14
8705,Pie-IX / Rouen,2019-11-05,02:30:00,2,30,0,6,0,1,5,2,1,0,0,0,0,0,0,0,0,0,139_439,15
8713,Pie-IX / Rouen,2019-11-07,02:30:00,2,30,0,6,0,2,12,0,0,0,0,0,0,0,0,0,0,0,139_439,20
8705,Pie-IX / Rouen,2019-11-05,02:45:00,2,45,0,5,3,1,5,1,0,0,0,0,1,0,0,0,0,0,139_439,16
8713,Pie-IX / Rouen,2019-11-07,02:45:00,2,45,0,4,2,1,11,2,2,0,0,1,0,0,0,0,0,0,139_439,23
8709,Pie-IX / Rouen,2019-11-06,02:30:00,2,30,0,4,1,1,6,1,0,3,1,0,0,1,0,0,0,0,139_439,18
8784,Métropolitain Nord / Provencher,2019-10-29,02:30:00,2,30,0,5,0,0,2,3,0,0,0,3,94,2,0,0,0,0,460,109
